Data,Otwarcie,Zamkniecie
2022-06-07,1838.63,1828.57
2022-06-08,1827.61,1792.8
2022-06-09,1793.03,1767.5
2022-06-10,1761.24,1725.18
2022-06-13,1704.52,1681.75
2022-06-14,1692.92,1704.07
2022-06-15,1707.38,1707.11
2022-06-17,1682.3,1676.67
2022-06-20,1684.09,1679.89
2022-06-21,1689.11,1719.05
2022-06-22,1700.92,1680.61
2022-06-23,1678.01,1654.32
2022-06-24,1659.92,1682.33
2022-06-27,1691.89,1713.18
2022-06-28,1722.58,1739.08
2022-06-29,1726.38,1733.19
2022-06-30,1720.32,1695.97
2022-07-01,1690.71,1688.85
2022-07-04,1695.14,1693.1
2022-07-05,1701.53,1644.46
2022-07-06,1649.5,1654.84
2022-07-07,1664.01,1708.8
2022-07-08,1707.55,1740.46
2022-07-11,1713.21,1714.56
2022-07-12,1707.7,1663.46
2022-07-13,1663.76,1655.65
2022-07-14,1655.76,1613.98
2022-07-15,1618.23,1620.13
2022-07-18,1632.83,1669.48
2022-07-19,1664.93,1679.27
2022-07-20,1688.47,1694.58
2022-07-21,1697.09,1683.09
2022-07-22,1677.44,1701.73
2022-07-25,1699.55,1685.62
2022-07-26,1677.62,1654.7
2022-07-27,1658.09,1651.89
2022-07-28,1661.43,1667.17
2022-07-29,1674.05,1721.11
2022-08-01,1723.75,1736.47
2022-08-02,1728.07,1713.61
2022-08-03,1702.13,1688.03
2022-08-04,1690.68,1674.37
2022-08-05,1685.3,1652.14
2022-08-08,1660.93,1695.78
2022-08-09,1695.54,1684.14
2022-08-10,1683.41,1694.11
2022-08-11,1705.23,1724.98
2022-08-12,1721.18,1735.07
2022-08-16,1739.62,1735
2022-08-17,1736.13,1682.93
2022-08-18,1683.89,1699.68
2022-08-19,1685.24,1673.4
2022-08-22,1669.2,1640.02
2022-08-23,1638.03,1656.77
2022-08-24,1655.38,1620.63
2022-08-25,1633.09,1632
2022-08-26,1635.66,1602.81
2022-08-29,1585.54,1573.35
2022-08-30,1578.24,1535.11
2022-08-31,1540.93,1528.22
2022-09-01,1522.52,1462.59
2022-09-02,1477.24,1505.75
2022-09-05,1496.88,1492.06
